b22659b9.e12c.4725.a7db.a833de_D1_D2.Unshared.Log.Ratio	X3fbf076a.824b.4eac.b6dc.bf5e59_D2.Unshared.Log.Ratio	X2b73e01c.347a.4dae.a71d.752aeb_D2.Unshared.Log.Ratio	X340a3769.3031.41ae.bb08.a2f696_D2.Unshared.Log.Ratio	X994f9b8e.46cb.413f.8ec8.2c2fed_D2.Unshared.Log.Ratio	X3e746bea.ed68.40e6.b348.6ddf08_D2.Unshared.Log.Ratio	X0745488e.0bfb.4d1f.8228.dedf76_D1_D2.Unshared.Log.Ratio	X8ed739dd.ae0f.4881.971a.db3cf4_D1_D2.Unshared.Log.Ratio	X21efd60f.6a31.4b98.9477.16a905_D2.Unshared.Log.Ratio	X092af714.b97a.457c.b0e9.8c20e8_D2.Unshared.Log.Ratio	b9c1f22e.61f7.45ed.b3b4.5094c7_D2.Unshared.Log.Ratio	X685ec3c2.e67a.40d3.9eb3.aa01c9_D1_D2.Unshared.Log.Ratio	X31c15e30.21d4.4843.bd4a.9cd0d8_D2.Unshared.Log.Ratio	X1abbcb28.f221.4cd4.8c01.37b9bb_D1_D2.Unshared.Log.Ratio	X61f76fe6.a1c6.41b8.bdc2.2f9209_D2.Unshared.Log.Ratio	X1db5574d.aca7.403c.8100.6e705f_D2.Unshared.Log.Ratio	X6e209757.a7f4.45af.b5f3.2ebc02_D2.Unshared.Log.Ratio	X1556af7e.c2ae.4fce.9aae.87c459_D1_D2.Unshared.Log.Ratio	X7edfd606.4bee.4529.9fec.1ca7f0_D2.Unshared.Log.Ratio
ABHD10	-0.00258328877948494	0.286581211355536	0.57493169563327	0.568045252034964	0.441842828018694	-0.0599440913293095	0.224337570963129	0.590482625678375	0.0389068965788469	0.504550233705915	0.431163848587737	0.149745707340249	0.00148534077190454	-0.0212748480186511	0.131746836157554	0.285643235841632	0.34057613201678	0.308875711504901	0.325794156131232
ABHD11	0.355256221591348	-0.221037327870244	-1.0992328363375	-0.138178376250438	-0.507943488003027	-0.243451802846169	0.124142802934749	-0.0674292429196746	0.514595081529356	-0.399671547851282	-0.291377731810663	-0.884336239236818	0.179558184852966	0.0290764630020798	-0.53049280258771	0.0439053099535749	-0.0539266120362596	-0.492095934090857	-0.437653277838502
ABHD12	0.430884449838004	-0.661200058555594	-0.533139963139878	-0.417742192260471	-0.352768650302398	-0.948458381792712	-0.230953788283188	-0.569094091794192	-0.162115097769395	-0.687859411902185	0.0780382295330962	-0.38877350512381	-0.326357001792904	-0.150504566906806	-0.56982715801583	-0.948296368683182	-1.04753901238872	-0.64436138384764	-0.604186129453545
ABHD14B	0.644287518868534	-0.21412114429929	0.75787869003845	0.398489682772279	0.356254081883024	-0.288808175596304	0.0233041042401525	0.655334046778194	0.722268015030238	0.414710370297771	0.507078083040893	0.0395747062078253	0.141484282996512	0.0633132583345368	0.13749059157643	0.8018888303528	0.440482454037109	0.647153847673178	0.18239784830788
ABHD16A	-0.283663351636816	-0.406860058038233	-1.20224006878013	0.113778825106643	0.0666415876836215	0.515694350194962	0.70777191097526	-0.11570762439145	0.500702674984029	-0.679347003380845	-0.00765393512230204	-0.306846025857179	-0.0338298765626975	0.854599057345188	-0.548250094508234	-1.45597029031732	0.0758871420025553	-0.211379334716191	0.122343550763738
ABHD4	0.509560982322857	0.843421962785537	-0.105856195438703	0.505116426916059	-0.972347470459152	-0.626994791842948	-0.33061730622157	0.808512081193338	-0.188028217284143	-0.501678760455643	0.65788590518715	0.125806607153594	-0.196262258872897	0.438330294819677	-1.00958711876527	-0.976942780038622	0.156089547410323	1.0242696319837	-0.147863780578499
ABHD5	0.523392198067635	0.21245682806717	-0.625679502217423	-0.882243082723049	-1.47126571968524	-0.185617332070616	0.0361708578488338	2.9339716886327	0.862232307022924	-0.536054685579197	-1.01965662826535	0.839274680562875	-1.02680781943227	-0.116489616908221	-0.946723097426158	3.13173231920782	0.040078102574796	-0.138538323858874	0.277821104251263
ABI1	-0.150279511990083	0.191188357842878	-0.33341064949112	-0.0195271250048809	-0.706939809516376	-0.3582277496254	-0.662243634483913	-0.69654669173236	-0.693524799793265	-0.487720967795086	-0.422852762860534	-1.10692293687669	-0.363838913296518	-0.905990146735945	-0.488822640377498	-0.602969529473862	-0.557117733332641	-0.0686468078323477	-0.603433916474515
ABI2	0.286442208476439	-0.437431066066952	0.513881771942054	0.493490004660986	0.280349297176554	-0.115526103726754	-0.414452874130022	-0.621078712252152	-0.699567299569529	0.245381516660104	0.242406139825187	-1.10742918238508	0.587827294613617	-0.135318848284011	0.887867337969975	-0.121633548226869	-0.866797256952441	0.0126882170530315	0.379765942413545
ABI3	-0.711026071409053	-0.427338152353905	0.21183363899903	0.282392303878962	0.105804577419275	-0.580947782205181	0.403575253473702	-1.05446944444882	0.0832505917920085	0.105825117159243	-0.00557290297419215	0.372952506984285	-0.527086277626938	1.05873324355148	0.355951368417997	0.587492400509933	-0.415335533072979	-0.214649750312576	0.0443732158068835
