X1740224c.32d1.4c9f.98c6.653363	X6c660b6b.bfda.47b0.9499.160d49	X1664b920.5e60.4e3b.9aab.fe121c	X81116212.b7e6.454b.9579.105cf3	X33adae13.5dbd.4530.a5d5.3763e4	X428de0d4.7f84.4075.bae1.352af6	X0a80d3c4.0758.447a.958c.ea868c	X53723086.8858.4395.93d7.0baa68	X3367406e.d39c.4641.a3e7.44e1f3	X241ecd0e.89bd.4d3a.81b3.55a250	X64ee175f.f3ce.446e.bbf4.9b6fa8_D1	X4749ba99.d3b8.4ae3.b6f6.458bc7	X7ac27de9.0932.4ff5.aab8.29c527	X885fe794.a98e.4f81.a284.ac4bb8
ABCB6	0.654100589381793	1.8930771127307	0.722534242821533	0.7751076799142	-0.0679594069483189	0.525287775941944	0.869864051325785	1.0378596494282	0.0259946431828625	0.560750569019287	1.07247661437471	0.686282670382668	-0.14452983417806	0.816997901062377
ABCB8	0.335970707238706	0.201795186512224	-1.67306714356256	-0.435703809377499	-1.18540990809257	-0.0619970337405312	0.184558171205506	-1.22783040764256	-2.47167877461785	-1.22696706710831	-1.9007119836601	-1.3625519884214	-0.98160310779839	-0.193615983526994
ABCC1	-0.269903221833228	-0.154080882207885	0.312338718516687	-0.558661043838089	0.132887999475848	-0.358551131126551	-0.275217019618817	-0.734748539142733	0.663311371391753	-0.0445093896078269	0.473498297574125	0.37208730873964	0.277462274685162	-0.343216734675577
ABCC11	-0.618800067661113	-0.213049124711633	-0.227478376921715	-0.153788207522566	-0.196387547887494	-0.285762256644623	-0.132847012205559	-0.366129448202175	-0.310394498722035	-0.216649069939119	-0.157490196293208	-0.110998430897115	-0.122359313329206	-0.381934633090247
ABCC5	-1.41344270896682	-0.664705117335035	-0.773393398356837	-1.69185261097155	-0.922848193913432	-0.995468529469568	-0.768999423690222	-1.25568831502294	-0.906263838120814	-0.767489214413585	-0.770289953511153	-0.663802718976959	-0.905101253888745	-1.42346962271853
ABCD1	-0.707853489158539	-0.24394596208969	-1.73988786677538	-0.888789024299289	-1.2878118242246	-1.17469682788896	-0.123776416023529	-0.584426595051878	-1.61897474914649	-1.38201158083936	-1.23583018634896	-1.45801321144447	-1.54339289524823	-0.77044049922685
ABCD3	-1.34779425382487	-1.50040551795728	-1.61768259398615	-1.66525532561231	-1.88178014266779	-1.86518978408773	-1.73826639910191	-2.14533893532114	-1.7263680955769	-1.62698076028789	-1.27654184046754	-1.79075409024409	-1.69334367917496	-2.02074212780798
ABCE1	-0.524106815806427	-0.472458950107171	-0.262258925354986	-0.380032796116016	-0.365935739052197	-0.267951690622042	-0.387140637246204	-0.476903032644317	-0.278444116545958	-0.550258367492236	-0.335281867106327	-0.586592834690266	-0.468049820269743	-0.398958169817937
ABCF1	-0.0854297336685275	-0.208495779838398	-0.219491998681501	0.038162083552117	0.0244667185024791	-0.0298807949257696	-0.22089011135026	0.113775354388065	-0.0932017538156552	-0.238433378623842	-0.194577180811372	-0.415013205360921	-0.2885149718189	-0.106976293691114
ABCF2	-0.75372424265328	-0.702438050060328	-0.545534712330245	-0.249271351050257	-0.504462435651292	-0.461508429665985	-0.512588143174426	-0.663762915370494	-0.3702345917469	-0.604568579421851	-0.61062866037266	-0.696980626616854	-0.587486854864377	-0.591059517048227
ABCF3	-0.310596899650475	-0.374151202136869	-0.987340796297137	-0.383871462555633	-0.789584313846113	-0.336706349760113	-0.579303175809422	-0.800890275787768	-0.771403655092221	-0.970471557974112	-0.90218190769088	-0.944857674446059	-0.971968452905505	-0.51701087259259
